kod_obce,nazev_obce,volici_v_seznamu,vydane_obalky,platne_hlasy
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,1,"0,58",X
29,Svob.a pø.dem.-T.Okamura (SPD),11,"6,47",X
30,Strana Práv Obèanù,1,"0,58",X
2,2,"100,00",765,505,"66,01",505,502,"99,41"
1,Obèanská demokratická strana,70,"13,94",X
2,Øád národa - Vlastenecká unie,1,"0,19",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,20,"3,98",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,58,"11,55",X
8,Komunistická str.Èech a Moravy,27,"5,37",X
9,Strana zelenıch,7,"1,39",X
10,"ROZUMNÍ-stop migraci,diktát.EU",3,"0,59",X
12,Strana svobodnıch obèanù,7,"1,39",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,19",X
15,Èeská pirátská strana,68,"13,54",X
17,Unie H.A.V.E.L.,1,"0,19",X
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,31,"6,17",X
21,ANO 2011,139,"27,68",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,19,"3,78",X
25,Èeská strana národnì sociální,1,"0,19",X
26,REALISTÉ,1,"0,19",X
27,SPORTOVCI,1,"0,19",X
28,Dìlnic.str.sociální spravedl.,4,"0,79",X
29,Svob.a pø.dem.-T.Okamura (SPD),43,"8,56",X
30,Strana Práv Obèanù,0,"0,00",-
3,3,"100,00",361,242,"67,04",242,241,"99,59"
1,Obèanská demokratická strana,38,"15,76",X
2,Øád národa - Vlastenecká unie,1,"0,41",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,10,"4,14",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,12,"4,97",X
8,Komunistická str.Èech a Moravy,20,"8,29",X
9,Strana zelenıch,2,"0,82",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,6,"2,48",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,41",X
15,Èeská pirátská strana,27,"11,20",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,19,"7,88",X
21,ANO 2011,69,"28,63",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,2,"0,82",X
24,Køes.demokr.unie-Ès.str.lid.,1,"0,41",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,4,"1,65",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,1,"0,41",X
29,Svob.a pø.dem.-T.Okamura (SPD),27,"11,20",X
30,Strana Práv Obèanù,1,"0,41",X
4,4,"100,00",632,451,"71,36",451,448,"99,33"
1,Obèanská demokratická strana,30,"6,69",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,1,"0,22",X
4,Èeská str.sociálnì demokrat.,24,"5,35",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,47,"10,49",X
8,Komunistická str.Èech a Moravy,40,"8,92",X
9,Strana zelenıch,8,"1,78",X
10,"ROZUMNÍ-stop migraci,diktát.EU",5,"1,11",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,1,"0,22",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,55,"12,27",X
17,Unie H.A.V.E.L.,1,"0,22",X
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,28,"6,25",X
21,ANO 2011,141,"31,47",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,22",X
24,Køes.demokr.unie-Ès.str.lid.,37,"8,25",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"0,44",X
27,SPORTOVCI,1,"0,22",X
28,Dìlnic.str.sociální spravedl.,2,"0,44",X
29,Svob.a pø.dem.-T.Okamura (SPD),24,"5,35",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",351,222,"63,25",222,222,"100,00"
1,Obèanská demokratická strana,17,"7,65",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,16,"7,20",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,19,"8,55",X
8,Komunistická str.Èech a Moravy,11,"4,95",X
9,Strana zelenıch,4,"1,80",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,45",X
12,Strana svobodnıch obèanù,3,"1,35",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,3,"1,35",X
15,Èeská pirátská strana,41,"18,46",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,5,"2,25",X
21,ANO 2011,66,"29,72",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,45",X
24,Køes.demokr.unie-Ès.str.lid.,18,"8,10",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),16,"7,20",X
30,Strana Práv Obèanù,1,"0,45",X
1,1,"100,00",66,61,"92,42",61,61,"100,00"
1,Obèanská demokratická strana,5,"8,19",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,3,"4,91",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,6,"9,83",X
8,Komunistická str.Èech a Moravy,3,"4,91",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,3,"4,91",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,2,"3,27",X
21,ANO 2011,28,"45,90",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,7,"11,47",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,1,"1,63",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),3,"4,91",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",567,371,"65,43",371,370,"99,73"
1,Obèanská demokratická strana,37,"10,00",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,13,"3,51",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,31,"8,37",X
8,Komunistická str.Èech a Moravy,39,"10,54",X
9,Strana zelenıch,6,"1,62",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,27",X
12,Strana svobodnıch obèanù,13,"3,51",X
13,Blok proti islam.-Obran.domova,2,"0,54",X
14,Obèanská demokratická aliance,1,"0,27",X
15,Èeská pirátská strana,40,"10,81",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,13,"3,51",X
21,ANO 2011,105,"28,37",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,16,"4,32",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,4,"1,08",X
27,SPORTOVCI,1,"0,27",X
28,Dìlnic.str.sociální spravedl.,1,"0,27",X
29,Svob.a pø.dem.-T.Okamura (SPD),44,"11,89",X
30,Strana Práv Obèanù,3,"0,81",X
1,1,"100,00",156,107,"68,59",107,107,"100,00"
1,Obèanská demokratická strana,5,"4,67",X
2,Øád národa - Vlastenecká unie,2,"1,86",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,10,"9,34",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,3,"2,80",X
8,Komunistická str.Èech a Moravy,15,"14,01",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,2,"1,86",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,3,"2,80",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,42,"39,25",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,8,"7,47",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,93",X
27,SPORTOVCI,1,"0,93",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),15,"14,01",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",54,39,"72,22",39,39,"100,00"
1,Obèanská demokratická strana,2,"5,12",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,0,"0,00",-
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,4,"10,25",X
8,Komunistická str.Èech a Moravy,4,"10,25",X
9,Strana zelenıch,1,"2,56",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"2,56",X
15,Èeská pirátská strana,3,"7,69",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,3,"7,69",X
21,ANO 2011,10,"25,64",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"2,56",X
24,Køes.demokr.unie-Ès.str.lid.,6,"15,38",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),4,"10,25",X
30,Strana Práv Obèanù,0,"0,00",-
5,5,"100,00",456,351,"76,97",351,350,"99,72"
1,Obèanská demokratická strana,24,"6,85",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,31,"8,85",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,16,"4,57",X
8,Komunistická str.Èech a Moravy,28,"8,00",X
9,Strana zelenıch,2,"0,57",X
10,"ROZUMNÍ-stop migraci,diktát.EU",4,"1,14",X
12,Strana svobodnıch obèanù,6,"1,71",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,46,"13,14",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,19,"5,42",X
21,ANO 2011,88,"25,14",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,45,"12,85",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,28",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,1,"0,28",X
29,Svob.a pø.dem.-T.Okamura (SPD),39,"11,14",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",563,369,"65,54",369,365,"98,92"
1,Obèanská demokratická strana,43,"11,78",X
2,Øád národa - Vlastenecká unie,2,"0,54",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,32,"8,76",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,25,"6,84",X
8,Komunistická str.Èech a Moravy,25,"6,84",X
9,Strana zelenıch,4,"1,09",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,27",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,35,"9,58",X
17,Unie H.A.V.E.L.,1,"0,27",X
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,14,"3,83",X
21,ANO 2011,138,"37,80",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,27",X
24,Køes.demokr.unie-Ès.str.lid.,20,"5,47",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,27",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),23,"6,30",X
30,Strana Práv Obèanù,0,"0,00",-
2,2,"100,00",331,225,"67,98",225,226,"100,44"
1,Obèanská demokratická strana,32,"14,15",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,11,"4,86",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,24,"10,61",X
8,Komunistická str.Èech a Moravy,20,"8,84",X
9,Strana zelenıch,2,"0,88",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,44",X
12,Strana svobodnıch obèanù,6,"2,65",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,44",X
15,Èeská pirátská strana,30,"13,27",X
17,Unie H.A.V.E.L.,1,"0,44",X
19,Referendum o Evropské unii,1,"0,44",X
20,TOP 09,28,"12,38",X
21,ANO 2011,43,"19,02",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,8,"3,53",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,44",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),16,"7,07",X
30,Strana Práv Obèanù,1,"0,44",X
3,3,"100,00",602,421,"69,93",421,419,"99,52"
1,Obèanská demokratická strana,26,"6,20",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,23,"5,48",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,35,"8,35",X
8,Komunistická str.Èech a Moravy,43,"10,26",X
9,Strana zelenıch,11,"2,62",X
10,"ROZUMNÍ-stop migraci,diktát.EU",2,"0,47",X
12,Strana svobodnıch obèanù,4,"0,95",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,55,"13,12",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,23,"5,48",X
21,ANO 2011,131,"31,26",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,23",X
24,Køes.demokr.unie-Ès.str.lid.,24,"5,72",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,3,"0,71",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,2,"0,47",X
29,Svob.a pø.dem.-T.Okamura (SPD),36,"8,59",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",297,203,"68,35",203,201,"99,01"
1,Obèanská demokratická strana,20,"9,95",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,18,"8,95",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,19,"9,45",X
8,Komunistická str.Èech a Moravy,24,"11,94",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,49",X
12,Strana svobodnıch obèanù,11,"5,47",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,18,"8,95",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,3,"1,49",X
21,ANO 2011,57,"28,35",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,9,"4,47",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,3,"1,49",X
27,SPORTOVCI,2,"0,99",X
28,Dìlnic.str.sociální spravedl.,1,"0,49",X
29,Svob.a pø.dem.-T.Okamura (SPD),14,"6,96",X
30,Strana Práv Obèanù,1,"0,49",X
2,2,"100,00",728,449,"61,68",449,449,"100,00"
1,Obèanská demokratická strana,33,"7,34",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,27,"6,01",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,44,"9,79",X
8,Komunistická str.Èech a Moravy,28,"6,23",X
9,Strana zelenıch,6,"1,33",X
10,"ROZUMNÍ-stop migraci,diktát.EU",6,"1,33",X
12,Strana svobodnıch obèanù,3,"0,66",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,22",X
15,Èeská pirátská strana,40,"8,90",X
17,Unie H.A.V.E.L.,1,"0,22",X
19,Referendum o Evropské unii,2,"0,44",X
20,TOP 09,23,"5,12",X
21,ANO 2011,176,"39,19",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,22",X
24,Køes.demokr.unie-Ès.str.lid.,21,"4,67",X
25,Èeská strana národnì sociální,1,"0,22",X
26,REALISTÉ,1,"0,22",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),35,"7,79",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",149,102,"68,46",102,100,"98,04"
1,Obèanská demokratická strana,18,"18,00",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,2,"2,00",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,8,"8,00",X
8,Komunistická str.Èech a Moravy,0,"0,00",-
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,9,"9,00",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,4,"4,00",X
21,ANO 2011,34,"34,00",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,7,"7,00",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"2,00",X
27,SPORTOVCI,1,"1,00",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),15,"15,00",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",184,114,"61,96",114,114,"100,00"
1,Obèanská demokratická strana,8,"7,01",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,9,"7,89",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,5,"4,38",X
8,Komunistická str.Èech a Moravy,16,"14,03",X
9,Strana zelenıch,3,"2,63",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,87",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,2,"1,75",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,10,"8,77",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,43,"37,71",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,11,"9,64",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),6,"5,26",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",637,431,"67,66",429,429,"100,00"
1,Obèanská demokratická strana,47,"10,95",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,19,"4,42",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,56,"13,05",X
8,Komunistická str.Èech a Moravy,34,"7,92",X
9,Strana zelenıch,12,"2,79",X
10,"ROZUMNÍ-stop migraci,diktát.EU",4,"0,93",X
12,Strana svobodnıch obèanù,7,"1,63",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,47,"10,95",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,23",X
20,TOP 09,14,"3,26",X
21,ANO 2011,140,"32,63",X
22,Dobrá volba 2016,1,"0,23",X
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,8,"1,86",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,5,"1,16",X
27,SPORTOVCI,1,"0,23",X
28,Dìlnic.str.sociální spravedl.,1,"0,23",X
29,Svob.a pø.dem.-T.Okamura (SPD),32,"7,45",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",881,512,"58,12",512,509,"99,41"
1,Obèanská demokratická strana,42,"8,25",X
2,Øád národa - Vlastenecká unie,1,"0,19",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,28,"5,50",X
6,Radostné Èesko,1,"0,19",X
7,STAROSTOVÉ A NEZÁVISLÍ,42,"8,25",X
8,Komunistická str.Èech a Moravy,52,"10,21",X
9,Strana zelenıch,2,"0,39",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,19",X
12,Strana svobodnıch obèanù,6,"1,17",X
13,Blok proti islam.-Obran.domova,1,"0,19",X
14,Obèanská demokratická aliance,1,"0,19",X
15,Èeská pirátská strana,51,"10,01",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,14,"2,75",X
21,ANO 2011,182,"35,75",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,19",X
24,Køes.demokr.unie-Ès.str.lid.,34,"6,67",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"0,39",X
27,SPORTOVCI,2,"0,39",X
28,Dìlnic.str.sociální spravedl.,3,"0,58",X
29,Svob.a pø.dem.-T.Okamura (SPD),43,"8,44",X
30,Strana Práv Obèanù,0,"0,00",-
2,2,"100,00",545,390,"71,56",389,388,"99,74"
1,Obèanská demokratická strana,65,"16,75",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,24,"6,18",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,26,"6,70",X
8,Komunistická str.Èech a Moravy,19,"4,89",X
9,Strana zelenıch,6,"1,54",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,25",X
12,Strana svobodnıch obèanù,3,"0,77",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,63,"16,23",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,25",X
20,TOP 09,34,"8,76",X
21,ANO 2011,116,"29,89",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,8,"2,06",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,25",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,1,"0,25",X
29,Svob.a pø.dem.-T.Okamura (SPD),20,"5,15",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",899,575,"63,96",574,573,"99,83"
1,Obèanská demokratická strana,64,"11,16",X
2,Øád národa - Vlastenecká unie,1,"0,17",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,42,"7,32",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,46,"8,02",X
8,Komunistická str.Èech a Moravy,60,"10,47",X
9,Strana zelenıch,6,"1,04",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,17",X
12,Strana svobodnıch obèanù,10,"1,74",X
13,Blok proti islam.-Obran.domova,1,"0,17",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,60,"10,47",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,2,"0,34",X
20,TOP 09,23,"4,01",X
21,ANO 2011,189,"32,98",X
22,Dobrá volba 2016,1,"0,17",X
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,17",X
24,Køes.demokr.unie-Ès.str.lid.,8,"1,39",X
25,Èeská strana národnì sociální,0,"0,00",-
